lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
14299;388;15;1007;1;4;
14300;388;15;1008;1;5;
14301;388;15;1009;1;6;
14302;388;15;736;1;8;
14303;388;15;1537;1;10;
14304;388;15;1016;1;16;
14305;388;15;1232;1;18;
14306;388;15;1013;1;22;
14307;388;15;1511;1;26;
14308;388;15;1460;0;40;Torwart
14309;388;15;1138;0;9;
14310;388;15;1017;0;17;
14311;388;15;1019;0;21;
14312;388;15;1020;0;23;
14313;388;15;1021;0;28;
14314;388;15;1022;0;29;
14315;388;15;1014;0;30;
14316;388;15;1059;0;31;
14517;393;15;1016;1;16;
14518;393;15;1013;1;22;
14519;393;15;1020;1;23;
14520;393;15;1511;1;26;
14521;393;15;1014;1;30;
14522;393;15;1460;1;40;Torwart
14523;393;15;1006;1;3;
14524;393;15;1008;1;5;
14525;393;15;1009;1;6;
14526;393;15;736;1;8;
14527;393;15;1537;1;10;
14528;393;15;1548;0;34;Torwart
14529;393;15;1007;0;4;
14530;393;15;1138;0;9;
14531;393;15;1017;0;17;
14532;393;15;1232;0;18;
14533;393;15;1018;0;20;
14534;393;15;1019;0;21;
14535;393;15;1302;0;25;
14536;393;15;1059;0;31;
15016;406;15;1004;1;41;Torwart
15017;406;15;1006;1;3;
15018;406;15;1008;1;5;
15019;406;15;1009;1;6;
15020;406;15;1011;1;11;
15021;406;15;1017;1;17;
15022;406;15;1232;1;18;
15023;406;15;1018;1;20;
15024;406;15;1020;1;23;
15025;406;15;1511;1;26;
15026;406;15;1014;1;30;
15027;406;15;1460;0;40;Torwart
15028;406;15;1005;0;2;
15029;406;15;736;0;8;
15030;406;15;1138;0;9;
15031;406;15;1537;0;10;
15032;406;15;1016;0;16;
15033;406;15;1012;0;19;
15034;406;15;1019;0;21;
15035;406;15;1059;0;31;
15156;409;15;1011;1;11;
15157;409;15;1018;1;20;
15158;409;15;1013;1;22;
15159;409;15;1511;1;26;
15160;409;15;1014;1;30;
15161;409;15;1004;1;41;Torwart
15162;409;15;1005;1;2;
15163;409;15;1006;1;3;
15164;409;15;1008;1;5;
15165;409;15;1009;1;6;
15166;409;15;736;1;8;
15167;409;15;1460;0;40;Torwart
15168;409;15;1138;0;9;
15169;409;15;1016;0;16;
15170;409;15;1017;0;17;
15171;409;15;1012;0;19;
15172;409;15;1020;0;23;
15173;409;15;1021;0;28;
15174;409;15;1022;0;29;
15175;409;15;1059;0;31;
15735;424;15;1004;1;41;Torwart
15736;424;15;1005;1;2;
15737;424;15;1006;1;3;
15738;424;15;1008;1;5;
15739;424;15;1009;1;6;
15740;424;15;736;1;8;
15741;424;15;1537;1;10;
15742;424;15;1011;1;11;
15743;424;15;1018;1;20;
15744;424;15;1511;1;26;
15745;424;15;1014;1;30;
15746;424;15;1460;0;40;Torwart
15747;424;15;1138;0;9;
15748;424;15;1016;0;16;
15749;424;15;1017;0;17;
15750;424;15;1232;0;18;
15751;424;15;1012;0;19;
15752;424;15;1019;0;21;
15753;424;15;1020;0;23;
15754;424;15;1059;0;31;
16034;431;15;1017;1;17;
16035;431;15;1232;1;18;
16036;431;15;1012;1;19;
16037;431;15;1511;1;26;
16038;431;15;1014;1;30;
16039;431;15;1004;1;41;Torwart
16040;431;15;1005;1;2;
16041;431;15;1009;1;6;
16042;431;15;736;1;8;
16043;431;15;1011;1;11;
16044;431;15;1016;1;16;
16045;431;15;1460;0;40;Torwart
16046;431;15;1007;0;4;
16047;431;15;1008;0;5;
16048;431;15;1138;0;9;
16049;431;15;1018;0;20;
16050;431;15;1013;0;22;
16051;431;15;1020;0;23;
16052;431;15;1302;0;25;
16053;431;15;1022;0;29;
16454;442;15;1004;1;41;Torwart
16455;442;15;1005;1;2;
16456;442;15;1006;1;3;
16457;442;15;1009;1;6;
16458;442;15;736;1;8;
16459;442;15;1138;1;9;
16460;442;15;1016;1;16;
16461;442;15;1017;1;17;
16462;442;15;1232;1;18;
16463;442;15;1012;1;19;
16464;442;15;1511;1;26;
16465;442;15;1460;0;40;Torwart
16466;442;15;1007;0;4;
16467;442;15;1537;0;10;
16468;442;15;1011;0;11;
16469;442;15;1018;0;20;
16470;442;15;1019;0;21;
16471;442;15;1013;0;22;
16472;442;15;1020;0;23;
16473;442;15;1014;0;30;
16674;447;15;1232;1;18;
16675;447;15;1012;1;19;
16676;447;15;1013;1;22;
16677;447;15;1511;1;26;
16678;447;15;1014;1;30;
16679;447;15;1004;1;41;Torwart
16680;447;15;1005;1;2;
16681;447;15;1006;1;3;
16682;447;15;1009;1;6;
16683;447;15;1016;1;16;
16684;447;15;1017;1;17;
16685;447;15;1460;0;40;Torwart
16686;447;15;1007;0;4;
16687;447;15;1138;0;9;
16688;447;15;1537;0;10;
16689;447;15;1011;0;11;
16690;447;15;1018;0;20;
16691;447;15;1019;0;21;
16692;447;15;1020;0;23;
16693;447;15;1302;0;25;
17133;459;15;1004;1;41;Torwart
17134;459;15;1005;1;2;
17135;459;15;1006;1;3;
17136;459;15;1009;1;6;
17137;459;15;736;1;8;
17138;459;15;1011;1;11;
17139;459;15;1232;1;18;
17140;459;15;1012;1;19;
17141;459;15;1019;1;21;
17142;459;15;1511;1;26;
17143;459;15;1014;1;30;
17144;459;15;1460;0;40;Torwart
17145;459;15;1007;0;4;
17146;459;15;1138;0;9;
17147;459;15;1537;0;10;
17148;459;15;1016;0;16;
17149;459;15;1018;0;20;
17150;459;15;1013;0;22;
17151;459;15;1020;0;23;
17152;459;15;1302;0;25;
17273;462;15;1232;1;18;
17274;462;15;1012;1;19;
17275;462;15;1013;1;22;
17276;462;15;1511;1;26;
17277;462;15;1014;1;30;
17278;462;15;1004;1;41;Torwart
17279;462;15;1005;1;2;
17280;462;15;1006;1;3;
17281;462;15;1009;1;6;
17282;462;15;736;1;8;
17283;462;15;1011;1;11;
17284;462;15;1460;0;40;Torwart
17285;462;15;1007;0;4;
17286;462;15;1138;0;9;
17287;462;15;1016;0;16;
17288;462;15;1018;0;20;
17289;462;15;1019;0;21;
17290;462;15;1020;0;23;
17291;462;15;1302;0;25;
17292;462;15;1022;0;29;
17910;478;15;1012;1;19;
17911;478;15;1013;1;22;
17912;478;15;1020;1;23;
17913;478;15;1511;1;26;
17914;478;15;1014;1;30;
17915;478;15;1460;1;40;Torwart
17916;478;15;1006;1;3;
17917;478;15;1009;1;6;
17918;478;15;736;1;8;
17919;478;15;1011;1;11;
17920;478;15;1232;1;18;
17921;478;15;1004;0;41;Torwart
17922;478;15;1007;0;4;
17923;478;15;1138;0;9;
17924;478;15;1537;0;10;
17925;478;15;1016;0;16;
17926;478;15;1017;0;17;
17927;478;15;1018;0;20;
17928;478;15;1019;0;21;
17929;478;15;1302;0;25;
18289;488;15;1460;1;40;Torwart
18290;488;15;1005;1;2;
18291;488;15;1006;1;3;
18292;488;15;1009;1;6;
18293;488;15;736;1;8;
18294;488;15;1011;1;11;
18295;488;15;1232;1;18;
18296;488;15;1012;1;19;
18297;488;15;1013;1;22;
18298;488;15;1511;1;26;
18299;488;15;1014;1;30;
18300;488;15;1004;0;41;Torwart
18301;488;15;1007;0;4;
18302;488;15;1138;0;9;
18303;488;15;1537;0;10;
18304;488;15;1016;0;16;
18305;488;15;1017;0;17;
18306;488;15;1018;0;20;
18307;488;15;1019;0;21;
18308;488;15;1020;0;23;
