player_match_stat_id;match_id;team_id;player_id;is_starting;was_substituted_in;was_substituted_out;minute_in;minute_out;minutes_played;goals;own_goals;assists;yellow_cards;yellow_red_cards;red_cards;clean_sheet;shirt_number;position;created_at;updated_at
26371;226;15;1155;0;0;0;;;0;0;0;0;0;0;0;0;33;;2026-08-29 09:22:36;2026-08-29 09:22:36
26372;226;15;1191;0;0;0;;;0;0;0;0;0;0;0;0;37;;2026-08-29 09:22:36;2026-08-29 09:22:36
26373;226;15;1023;0;0;0;;;0;0;0;0;0;0;0;0;38;;2026-08-29 09:22:36;2026-08-29 09:22:36
26395;226;15;1048;0;1;0;75;90;15;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
26608;232;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
26609;232;15;1007;1;0;0;0;90;90;0;0;0;0;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
26610;232;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
26611;232;15;1016;1;0;1;0;80;80;0;0;0;0;0;0;0;16;;2026-08-29 09:22:36;2026-08-29 09:22:36
26612;232;15;1012;1;0;0;0;90;90;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
26613;232;15;1018;1;0;1;0;80;80;0;0;0;1;0;0;0;20;;2026-08-29 09:22:36;2026-08-29 09:22:36
26614;232;15;1013;1;0;1;0;89;89;0;0;0;0;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
26615;232;15;1020;1;0;0;0;90;90;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
26616;232;15;1022;1;0;1;0;89;89;0;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
26617;232;15;1014;1;0;1;0;74;74;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
26618;232;15;1004;1;0;0;0;90;90;0;0;0;0;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26619;232;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
26620;232;15;1005;0;1;0;80;90;10;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
26621;232;15;1008;0;0;0;;;0;0;0;0;0;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
26622;232;15;1138;0;1;0;74;90;16;0;0;0;0;0;0;0;9;;2026-08-29 09:22:36;2026-08-29 09:22:36
26623;232;15;1197;0;0;0;;;0;0;0;0;0;0;0;0;27;;2026-08-29 09:22:36;2026-08-29 09:22:36
26624;232;15;1021;0;0;0;;;0;0;0;0;0;0;0;0;28;;2026-08-29 09:22:36;2026-08-29 09:22:36
26625;232;15;1155;0;0;0;;;0;0;0;0;0;0;0;0;33;;2026-08-29 09:22:36;2026-08-29 09:22:36
26626;232;15;1191;0;1;0;89;90;1;0;0;0;0;0;0;0;37;;2026-08-29 09:22:36;2026-08-29 09:22:36
26627;232;15;1023;0;1;0;80;90;10;0;0;0;0;0;0;0;38;;2026-08-29 09:22:36;2026-08-29 09:22:36
26649;232;15;1048;0;1;0;89;90;1;0;0;0;0;0;0;0;;;2026-08-29 09:22:36;2026-08-29 09:22:36
27134;244;15;1006;1;0;0;0;90;90;0;0;0;0;0;0;0;3;;2026-08-29 09:22:36;2026-08-29 09:22:36
27135;244;15;1007;1;0;0;0;90;90;0;0;0;1;0;0;0;4;;2026-08-29 09:22:36;2026-08-29 09:22:36
27136;244;15;1009;1;0;0;0;90;90;0;0;0;0;0;0;0;6;;2026-08-29 09:22:36;2026-08-29 09:22:36
27137;244;15;1011;1;0;1;0;79;79;0;0;0;0;0;0;0;11;;2026-08-29 09:22:36;2026-08-29 09:22:36
27138;244;15;1012;1;0;0;0;90;90;0;0;0;0;0;0;0;19;;2026-08-29 09:22:36;2026-08-29 09:22:36
27139;244;15;1019;1;0;1;0;79;79;0;0;0;0;0;0;0;21;;2026-08-29 09:22:36;2026-08-29 09:22:36
27140;244;15;1013;1;0;0;0;90;90;0;0;0;0;0;0;0;22;;2026-08-29 09:22:36;2026-08-29 09:22:36
27141;244;15;1020;1;0;0;0;90;90;0;0;0;0;0;0;0;23;;2026-08-29 09:22:36;2026-08-29 09:22:36
27142;244;15;1022;1;0;1;0;33;33;0;0;0;0;0;0;0;29;;2026-08-29 09:22:36;2026-08-29 09:22:36
27143;244;15;1014;1;0;1;0;79;79;0;0;0;0;0;0;0;30;;2026-08-29 09:22:36;2026-08-29 09:22:36
27144;244;15;1004;1;0;0;0;90;90;0;0;0;0;0;0;0;41;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
27145;244;15;1015;0;0;0;;;0;0;0;0;0;0;0;0;1;Torwart;2026-08-29 09:22:36;2026-08-29 09:22:36
27146;244;15;1005;0;1;0;63;90;27;0;0;0;0;0;0;0;2;;2026-08-29 09:22:36;2026-08-29 09:22:36
27147;244;15;1008;0;0;0;;;0;0;0;0;0;0;0;0;5;;2026-08-29 09:22:36;2026-08-29 09:22:36
