lineup_id;match_id;team_id;player_id;is_starting;shirt_number;position
5057;150;3;167;0;8;
5058;150;3;160;0;17;
5059;150;3;161;0;18;
5195;155;3;512;1;1;Torwart
5196;155;3;406;1;4;
5197;155;3;166;1;5;
5198;155;3;167;1;8;
5199;155;3;168;1;9;
5200;155;3;263;1;10;
5201;155;3;433;1;12;
5202;155;3;176;1;14;
5203;155;3;365;1;15;
5204;155;3;160;1;17;
5205;155;3;161;1;18;
5206;155;3;325;0;22;Torwart
5207;155;3;169;0;2;
5208;155;3;170;0;7;
5209;155;3;158;0;11;
5210;155;3;511;0;13;
5211;155;3;264;0;21;
5522;164;3;168;1;9;
5523;164;3;433;1;12;
5524;164;3;160;1;17;
5525;164;3;161;1;18;
5526;164;3;162;1;19;
5527;164;3;325;1;22;Torwart
5528;164;3;169;1;2;
5529;164;3;406;1;4;
5530;164;3;166;1;5;
5531;164;3;170;1;7;
5532;164;3;167;1;8;
5533;164;3;265;0;6;
5534;164;3;158;0;11;
5535;164;3;511;0;13;
5536;164;3;172;0;16;
5537;164;3;264;0;21;
5741;171;3;262;1;1;Torwart
5742;171;3;166;1;5;
5743;171;3;265;1;6;
5744;171;3;170;1;7;
5745;171;3;167;1;8;
5746;171;3;168;1;9;
5747;171;3;263;1;10;
5748;171;3;433;1;12;
5749;171;3;176;1;14;
5750;171;3;171;1;15;
5751;171;3;162;1;19;
5752;171;3;325;0;22;Torwart
5753;171;3;169;0;2;
5754;171;3;158;0;11;
5755;171;3;160;0;17;
5756;171;3;264;0;21;
5996;178;3;176;1;14;
5997;178;3;171;1;15;
5998;178;3;161;1;18;
5999;178;3;162;1;19;
6000;178;3;264;1;21;
6001;178;3;262;1;1;Torwart
6002;178;3;166;1;5;
6003;178;3;170;1;7;
6004;178;3;168;1;9;
6005;178;3;263;1;10;
6006;178;3;433;1;12;
6007;178;3;325;0;22;Torwart
6008;178;3;169;0;2;
6009;178;3;406;0;4;
6010;178;3;167;0;8;
6011;178;3;158;0;11;
6012;178;3;511;0;13;
6013;178;3;160;0;17;
